# State-wise personal loans by scheduled commercial banks (INR crore outstanding).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 159.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,personal_loans_outstanding_crore,as_of,source,quality,geography_note
DL,2011,50057,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2012,58029,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2013,57950,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2014,73139,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2015,71735,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2016,78604,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2017,84590,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2018,99334,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2019,100540,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2020,116885,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2021,123903,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2022,138550,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2023,162936,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2024,188839,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2025,211649,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DN,2004,48,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2005,52,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2006,74,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
