# State GSDP at constant 2011-12 prices (INR lakh) and derived real growth.
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 22.
# FY = April-March. Growth is arithmetic percent change from the prior available FY.
state_code,fy,gsdp_constant_2011_12_lakh,source,level_quality,growth_quality,quality,geography_note,gsdp_real_growth_pct
GA,2017-18,5265269,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,2.738
GA,2018-19,5306301,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,0.779
GA,2019-20,5481154,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,3.295
GA,2020-21,5260542,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,-4.025
GA,2021-22,5316815,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,1.07
GA,2022-23,5986675,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,12.599
GA,2023-24,6413700,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.133
GJ,2011-12,61560607,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,
GJ,2012-13,68265021,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,10.891
GJ,2013-14,73428387,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.564
GJ,2014-15,81142764,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,10.506
GJ,2015-16,89446534,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,10.234
GJ,2016-17,98134196,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,9.713
GJ,2017-18,108656973,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,10.723
GJ,2018-19,118301975,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,8.877
GJ,2019-20,126527733,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.953
GJ,2020-21,124111783,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,-1.909
GJ,2021-22,136558743,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,10.029
GJ,2022-23,146599753,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.353
HP,2011-12,7271983,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,
HP,2012-13,7738428,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.414
HP,2013-14,8284669,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.059
HP,2014-15,8906019,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.5
HP,2015-16,9627406,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,8.1
HP,2016-17,10305499,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.043
HP,2017-18,10940627,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.163
HP,2018-19,11641398,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.405
HP,2019-20,12122701,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,4.134
HP,2020-21,11589374,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,-4.399
HP,2021-22,12119085,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,4.571
HP,2022-23,12918661,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.598
HP,2023-24,13734297,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.314
