# State-wise length of roads (km).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 146.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,road_length_km,as_of,source,quality,geography_note
JK,2010,25770,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2011,26980,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2012,36353,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2013,44597,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2014,39107,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2015,39096,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2016,49716,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2017,63386,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2018,108677,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2019,120034,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
