# Per-capita Net State Domestic Product at constant 2011-12 prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 20
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_constant_2011_12_inr,source,quality
GJ,2011-12,87481,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GJ,2012-13,96683,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GJ,2013-14,102589,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GJ,2014-15,111370,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GJ,2015-16,120683,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GJ,2016-17,129738,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GJ,2017-18,143604,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GJ,2018-19,154887,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GJ,2019-20,164060,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GJ,2020-21,156285,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GJ,2021-22,170519,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GJ,2022-23,181963,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2011-12,87721,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2012-13,92672,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2013-14,98816,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2014-15,105241,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2015-16,112723,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2016-17,122208,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2017-18,129303,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2018-19,136292,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2019-20,140999,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2020-21,132015,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2021-22,137010,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2022-23,144824,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2023-24,153887,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HP,2024-25,162275,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2011-12,106085,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2012-13,111780,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2013-14,119791,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2014-15,125032,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2015-16,137833,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2016-17,150259,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2017-18,156200,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2018-19,169604,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2019-20,170765,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2020-21,151979,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2021-22,166873,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2022-23,171661,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2023-24,182816,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
HR,2024-25,194285,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2011-12,41254,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2012-13,44176,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2013-14,43779,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2014-15,48781,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2015-16,44524,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2016-17,48826,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2017-18,52277,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2018-19,56133,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2019-20,55658,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2020-21,51464,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2021-22,57172,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2022-23,60642,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2023-24,64347,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JH,2024-25,68357,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JK,2011-12,51775,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JK,2012-13,52821,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JK,2013-14,54783,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
