# Per-capita Net State Domestic Product at current prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 19
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_current_inr,source,quality
JK,2012-13,57279,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JK,2013-14,61907,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JK,2014-15,62327,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JK,2015-16,74950,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JK,2016-17,78960,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JK,2017-18,87710,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JK,2018-19,98738,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JK,2019-20,101868,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JK,2020-21,101645,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JK,2021-22,112898,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JK,2022-23,123614,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JK,2023-24,140051,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JK,2024-25,154826,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2011-12,90263,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2012-13,102319,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2013-14,118829,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2014-15,130024,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2015-16,148108,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2016-17,169898,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2017-18,185840,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2018-19,205245,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2019-20,222141,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2020-21,221683,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2021-22,268963,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2022-23,310325,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2023-24,339813,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KA,2024-25,380906,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KL,2011-12,97912,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KL,2012-13,110314,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KL,2013-14,123388,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
